kdrama_name,original_networks
Dal-ja's Spring,KBS
Dali and Cocky Prince,KBS
Damo,MBC
Dangerous Woman,MBC
Daring Women,MBC
Dark Hole,OCN
Dark Hole, tvN
Dating Agency: Cyrano,tvN
Dear Heaven,SBS
Dear My Friends,tvN
Dear X Who Doesn't Love Me,iQiyi
Dear X Who Doesn't Love Me, Viki
Dear. M,KBS
Dear. M, Viki
Deep Rooted Tree,SBS
Definitely Neighbors,SBS
Delayed Justice,SBS
Delicious Proposal,MBC
Delivery,NA
Descendants of the Sun,KBS
Designated Survivor: 60 Days,Netflix
Designated Survivor: 60 Days, tvN
Devilish Charm,DramaX
Devilish Charm, MBN
Devilish Charm, Viki
Diary of a Night Watchman,MBC
Diary of a Prosecutor,jTBC
Did We Really Love?,MBC
Different Dreams,MBC
Dinner Mate,iQiyi
Dinner Mate, MBC
Discovery of Love,KBS
Distorted,SBS
Divorce Lawyer in Love,SBS
Do Do Sol Sol La La Sol,KBS
Do Do Sol Sol La La Sol, Netflix
Do You Like Brahms?,SBS
Doctor Detective,SBS
Doctor John,SBS
Doctor Lawyer,MBC
Doctor Prisoner,KBS
Doctor Stranger,SBS
Dokgo Rewind,Oksusu
Dokgo Rewind, Viki
Don't Cry My Love,MBC
Don't Dare to Dream,SBS
Don't Hesitate,SBS
Don't Look Back: The Legend of Orpheus,KBS
Doom at Your Service,tvN
Doom at Your Service, ViuTV
White Christmas,SBS
Dream,SBS
Dream High,KBS
Dream High 2,KBS
Dream of the Emperor,KBS
Drinking Solo,tvN
Dr. Brain,NA
Dr. Frost,OCN
Dr. Ian,Naver TV Cast
Dr. Jin,MBC
Dr. Kkang,MBC
Dr. Park's Clinic,NA
Dr. Romantic,SBS
Duel,OCN
Dummy Mommy,SBS
Eccentric! Chef Moon,Channel A
"Eight Days, Assassination Attempts against King Jeongjo",CGV
Emergency Couple,tvN
Emperor of the Sea,KBS
Empire of Gold,SBS
Empress Ki,MBC
Empress Myeongseong,KBS
Enchanting Neighbor,SBS
Encounter,tvN
Endless Love,SBS
Summer Scent,KBS
Enemies from the Past,MBC
Entertainer,SBS
Entourage,tvN
Erexion,KBS
Eve,tvN
Evergreen,OCN
Everybody Say Kimchi,MBC
Exo Next Door,Naver TV Cast
Extracurricular,Netflix
Extraordinary Attorney Woo,Netflix
Extraordinary You,MBC
Ex-Girlfriends' Club,tvN
Eyes of Dawn,MBC
Faith,SBS
Falling for Challenge,Naver TV Cast
Familiar Wife,tvN
Family,KBS
Family Secret,tvN
Family's Honor,SBS
Fantastic,jTBC
Fashion 70s,SBS
Fashion King,SBS
Fatal Promise,KBS
Fates & Furies,SBS
Fates & Furies, Viki
"Father, I'll Take Care of You",MBC
Father's House,SBS
Feast of the Gods,MBC
Feel Good to Die,KBS
Fight for My Way,KBS
Find Me in Your Memory,MBC
Fireworks,SBS
First Love,MBC
First Love Again,NA
First Wives' Club,SBS
Five Enough,KBS
Five Fingers,SBS
Flower Band,tvN
Flower Crew: Joseon Marriage Agency,jTBC
Flower Crew: Joseon Marriage Agency, Viki
Flower Grandpa Investigation Unit,tvN
Flower of Evil,tvN
Flower of Queen,MBC
Flower of Revenge,jTBC
Flowers of the Prison,MBC
Fly High Butterfly,jTBC
Forecasting Love and Weather,jTBC
Forecasting Love and Weather, Netflix
Forest,KBS
Forever Young,NA
Foundation of the Kingdom,KBS
Four Sisters,MBC
"Freedom Fighter, Lee Hoe-young",KBS
Freeze,NA
"From Now On, Showtime!",MBC
"From Now On, Showtime!", ViuTV
Full House Take 2,SBS Plus
Gangnam Beauty,jTBC
Gangnam Scandal,SBS
Gap-dong,tvN
Get Revenge,TV Chosun
Get Up,MBC
Ghost Doctor,tvN
Girls' Generation 1979,KBS
Glamorous Temptation,MBC
Glass Castle,SBS
Glass Mask,tvN
Glass Slippers,SBS
Glitch,Netflix
Gloria,KBS
Glorious Day,SBS
Glory Jane,KBS
Go Back,Naver TV Cast
Go Back, vLive
God of War,MBC
Goddess of Fire,MBC
Goddess of Marriage,SBS
God's Gift: 14 Days,SBS
"Gogh, The Starry Night",SBS
"Gogh, The Starry Night", Sohu TV
Gold Mask,KBS
Golden Apple,KBS
Golden Bride,SBS
Golden Cross,KBS
Golden Fish,MBC
Golden Pouch,MBC
Golden Rainbow,MBC
Golden Spoon,MBC
Golden Time,MBC
Good Casting,SBS
Good Doctor,KBS
"Good Job, Good Job",MBC
Good Manager,KBS
Goodbye Dear Wife,Channel A
Goodbye Mr. Black,MBC
Goodbye My Love,MBC
Goodbye Solo,KBS
Goodbye to Goodbye,MBC
Graceful Family,MBN
Graceful Friends,jTBC
Gracious Revenge,KBS
Grand Prince,TV Chosun
Grand Prince, Viki
Green Mothers' Club,jTBC
Green Mothers' Club, Netflix
Grid,NA
Gu Family Book,MBC
Guardian Angel,SBS
Guardian: The Lonely and Great God,tvN
Gunman in Joseon,KBS
"Gwanggaeto, The Great Conqueror",KBS
Gyebaek,MBC
Haechi,SBS
Happiness,tvN
Happy Ending,NA
Happy Home,MBC
Happy Sisters,SBS
Happy Together,SBS
He Is Psychometric,tvN
Healer,KBS
Heard It Through the Grapevine,SBS
Heart Surgeons,SBS
Heart to Heart,tvN
Heartless City,jTBC
Heartstrings,MBC
Hell Is Other People,OCN
Hellbound,Netflix
Hello Franceska,MBC
Hello Monster,KBS
"Hello, Me!",KBS
"Hello, Me!", Netflix
"Hello, My Twenties!",jTBC
Her Private Life,tvN
Here Comes Mr. Oh,MBC
Here's My Plan,MBC
Hero,OCN
"Hi Bye, Mama!",Netflix
"Hi Bye, Mama!", tvN
Hi! School: Love On,KBS
Hidden Identity,tvN
Hide and Seek,MBC
High Class,tvN
High End Crush,MBN
High End Crush, Naver TV Cast
High End Crush, Sohu TV
High Kick!,MBC
High Kick: Revenge of the Short Legged,MBC
High School King of Savvy,tvN
High Society,SBS
History of a Salaryman,NA
Hit the Top,KBS
Hogu's Love,tvN
Hold Me Tight,MBC
Hold My Hand,MBC
Home for Summer,KBS
Homemade Love Story,KBS
Hometown,tvN
Hometown Cha-Cha-Cha,Netflix
Hometown Cha-Cha-Cha, tvN
Hong Kong Express,SBS
Hospital Playlist,Netflix
Hospital Playlist, tvN
Hospital Ship,MBC
Hot Stove League,SBS
Hotel del Luna,tvN
Hotel King,MBC
Hotelier,MBC
House of Bluebird,KBS
How Are U Bread,Naver TV Cast
How Are U Bread, Viki
How Long I've Kissed,jTBC
How to Be Thirty,Daum Kakao TV
How to Be Thirty, Viki
How to Buy a Friend,KBS
How to Meet a Perfect Neighbor,SBS
How Should I Be,MBC
Hur Jun,MBC
"Hur Jun, The Original Story",MBC
Hush,iQiyi
Hush, jTBC
Hwarang: The Poet Warrior Youth,KBS
"Hyde Jekyll, Me",SBS
Hyena,tvN
I Can Hear Your Voice,SBS
"I Do, I Do",MBC
I Have a Lover,SBS
I Like You,KBS
I Love Lee Taly,tvN
I Need Romance,tvN
I Need Romance 2012,tvN
I Need Romance 3,tvN
I Order You,SBS Plus
I Picked Up a Celebrity on the Street,Oksusu
I Picked Up a Celebrity on the Street, Viki
I Wanna Hear Your Song,KBS
I'm After You,MBC
I'm Not a Robot,MBC
"I'm Sorry, But I Love You",KBS
"I'm Sorry, I Love You",KBS
Ice Adonis,tvN
Idol Drama Operation Team,KBS
Idol: The Coup,iQiyi
Idol: The Coup, jTBC
If Tomorrow Comes,SBS
If You Wish Upon Me,KBS
If You Wish Upon Me, ViuTV
Iljimae,MBC
Imaginary Cat,MBC every
Imitation,KBS
Imitation, Viki
Immortal Admiral Yi Sun-sin,KBS
In-soon Is Pretty,KBS
Incarnation of Money,SBS
Innocent Defendant,SBS
Insider,jTBC
Inspector Koo,jTBC
Inspector Koo, Netflix
Inspiring Generation,KBS
"Insu, the Queen Mother",jTBC
Into the Flames,TV Chosun
Introverted Boss,tvN
Ireland,MBC
Iris,KBS
Iris II: New Generation,KBS
Island,OCN
Itaewon Class,jTBC
Itaewon Class, Netflix
Item,MBC
It's Beautiful Now,KBS
It's My Life,KBS
It's Okay to Not Be Okay,Netflix
It's Okay to Not Be Okay, tvN
"It's Okay, That's Love",SBS
Jang Bo-ri Is Here!,MBC
"Jang Ok-jung, Living by Love",NA
Jeong Do-jeon,KBS
Ji Woon-soo's Stroke of Luck,TV Chosun
Jinxed at First,KBS
Jinxed at First, Viki
Jirisan,iQiyi
Jirisan, tvN
Jolly Widows,KBS
Joseon Exorcist,SBS
Joseon Exorcist, Viki
Joseon Survival Period,TV Chosun
JTBC Drama Festa,jTBC
JTBC Drama Festa, Netflix
Judge vs. Judge,SBS
Jugglers,KBS
Jump,MBC
Jungle Fish,KBS
Just Dance,KBS
Justice,KBS
Juvenile Justice,Netflix
Kairos,MBC
My Prettiest Moments,MBC
A Sea of Her Own,KBS
Dal Soon's Spring,KBS
Dear My Sister,KBS
Eunhui,KBS
In Still Green Days,KBS
Land of Gold,KBS
My Mind's Flower Rain,KBS
Samsaengi,KBS
Single-minded Dandelion,KBS
Sunok,KBS
That Sun in the Sky,KBS
The Stars Are Shining,KBS
Kill Heel,tvN
Kill It,OCN
"Kill Me, Heal Me",MBC
Kim Is a Genius,jTBC
Kimchi Cheese Smile,MBC
Kimchi Family,jTBC
King of Ambition,SBS
Kingdom,Netflix
Kingmaker: The Change of Destiny,TV Chosun
Kiss Sixth Sense,NA
Kkondae Intern,MBC
Korean Peninsula,TV Chosun
L.U.C.A.: The Beginning,tvN
Lady Cha Dal-rae's Lover,KBS
Land of Wine,SBS
Last,jTBC
Late Night Restaurant,SBS
Law School,jTBC
Law School, Netflix
Lawless Lawyer,tvN
Lawyers,MBC
Left-Handed Wife,KBS
Legal High,jTBC
Legal High, Viki
Legend of Hyang Dan,MBC
Less Than Evil,MBC
Let Me Be Your Knight,iQiyi
Let Me Be Your Knight, SBS
Let Me Introduce Her,SBS
Let's Eat,tvN
Let's Eat 2,tvN
Let's Eat 3,tvN
Level Up,DramaX
Level Up, MBN
Level Up, Viki
Leverage,TV Chosun
Liar Game,tvN
Lie After Lie,Channel A
Lie to Me,SBS
Life,jTBC
Life, Netflix
Life Is Beautiful,KBS
Life on Mars,OCN
Lights and Shadows,MBC
Light on Me,Viki
Likeable or Not,KBS
"Link: Eat, Love, Kill",tvN
Listen to Love,jTBC
Listen to My Heart,MBC
Little Women,Netflix
Little Women, tvN
Live,Netflix
Live, tvN
Live On,jTBC
Live On, Naver TV Cast
Live On, Viki
Live Up to Your Name,tvN
Liver or Die,KBS
Living Among the Rich,jTBC
Living in Style,KBS
Lobbyist,SBS
Local Hero,OCN
Look Back in Anger,KBS
Loss Time Life,Naver TV Cast
Lost,iQiyi
Lost, jTBC
Love & Secret,DRAMAcube
Love (ft. Marriage and Divorce),Netflix
Love (ft. Marriage and Divorce), TV Chosun
Love Again,jTBC
Love Alarm,Netflix
Love Alert,MBN
Love Alert, Viki
Love All Play,KBS
Love and Obsession,KBS
Love Can't Wait,MBC
Love for a Thousand More,Naver TV Cast
Love in 3 Colors,Naver TV Cast
Love in Her Bag,jTBC
Love in Sadness,MBC
Love in the Moonlight,KBS
Love Me When You Can,MBC
Love on a Rooftop,KBS
Love Playlist,Naver TV Cast
Love Playlist, vLive
Love Rain,KBS
Love Returns,KBS
Love Revolution,Daum Kakao TV
Love Revolution, Viki
Love Scene Number,MBC
Love to Hate You,Netflix
Love to the End,KBS
Love Twist,KBS
Love with Flaws,MBC
Loveholic,KBS
Lovely Horribly,KBS
Lovers,MBC
Lovers in Bloom,KBS
Lovers in Paris,SBS
Lovers in Prague,SBS
Lovers of Haeundae,KBS
Lovers of Music,KBS
Lovers of the Red Sky,SBS
Lovers of the Red Sky, Viki
Lovers of the Red Sky, ViuTV
Lovestruck in the City,Daum Kakao TV
Lovestruck in the City, Netflix
Lucky Romance,MBC
Ma Boy,Tooniverse
Mad Dog,KBS
Madame Antoine: The Love Therapist,jTBC
Magic Cellphone,NA
Magic Kid Masuri,KBS
Make a Woman Cry,MBC
Make Your Wish,MBC
Mama,MBC
Man from the Equator,KBS
Man in a Veil,KBS
Man in the Kitchen,MBC
Man to Man,jTBC
Man Who Dies to Live,MBC
Manhole,KBS
Manny,tvN
Marriage Contract,MBC
"Marriage, Not Dating",tvN
Marry Him If You Dare,KBS
Marry Me Now,KBS
Marrying a Millionaire,SBS
Marrying My Daughter Twice,SBS
Mask,SBS
Master's Sun,SBS
Matrimonial Chaos,KBS
May Queen,MBC
"Me Too, Flower!",MBC
Medical Top Team,MBC
Melancholia,tvN
Melody of Love,KBS
Meloholic,OCN
Meloholic, Oksusu
Meloholic, Viki
Melting Me Softly,tvN
Memories of the Alhambra,Netflix
Memories of the Alhambra, tvN
Memorials,KBS
Memorist,tvN
Memory,tvN
Men Are Men,KBS
Mental Coach Je Gal-gil,tvN
Merry Mary,MBC
Military Prosecutor Doberman,tvN
Mimi,Mnet
Mina,KBS
Mine,Netflix
Mine, tvN
Misaeng: Incomplete Life,tvN
Miss Ajumma,SBS
Miss Korea,MBC
Miss Lee,tvN
Miss Mamma Mia,KBS
Miss Mermaid,MBC
Miss Monte-Cristo,KBS
Miss Panda and Mr. Hedgehog,Channel A
Miss Ripley,MBC
Missing 9,MBC
Missing You,MBC
Missing: The Other Side,OCN
Mistress,OCN
Misty,jTBC
Model,SBS
Modern Farmer,SBS
Mom Has an Affair,SBS
Mom's Dead Upset,KBS
Money Flower,MBC
Money Game,tvN
Money Heist: Korea – Joint Economic Area,Netflix
Monstar,Mnet
Monster,MBC
Monstrous,tvN
Monthly Magazine Home,iQiyi
Monthly Magazine Home, jTBC
Moon Embracing the Sun,MBC
Moon Lovers: Scarlet Heart Ryeo,SBS
Moonshine,KBS
Moorim School: Saga of the Brave,KBS
More Than a Maid,jTBC
More Than Friends,jTBC
More Than Friends, Viki
Mother of Mine,KBS
Mother's Garden,MBC
Mouse,tvN
Move to Heaven,Netflix
Moving,jTBC
Mr. Back,MBC
Mr. Duke,MBC
Mr. Queen,tvN
Mr. Sunshine,Netflix
Mr. Sunshine, tvN
Mrs. Cop,SBS
Mrs. Cop 2,SBS
Ms. Hammurabi,jTBC
"Ms. Ma, Nemesis",SBS
Ms. Perfect,KBS
My Absolute Boyfriend,SBS
My Absolute Boyfriend, Viki
My Beautiful Bride,OCN
My Beloved Sister,MBC
"My Contracted Husband, Mr. Oh",MBC
My Country: The New Age,jTBC
My Country: The New Age, Netflix
My Dangerous Wife,MBN
My Daughter the Flower,SBS
"My Daughter, Geum Sa-wol",MBC
My Dear Cat,KBS
My Fair Lady,SBS
My Father Is Strange,KBS
My Fellow Citizens!,KBS
My First First Love,Netflix
My First Love,OCN
